id,name,type,price_per_night,status,amenities,floor,created_at,cover_image_url,gallery_image_urls,public_description,public_location,public_modal_location,public_guests_label,public_size_label,public_bed_label,public_bath_label
201,1st Series,Standard Room,8000.00,active:ready,"[""Balcony"",""High-Speed Wi-Fi"",""Flat-Screen TV"",""Lounge Chair"",""Room Service"",""Towels"",""Bathtubs"",""Shower"",""Ceiling Fan"",""Air Conditioning"",""Smart TV"",""Alarm Clock"",""Workspace Desk"",""Wardrobe"",""Blackout Curtains"",""Seating Area"",""Tea / Coffee Maker"",""Comfortable bedding"",""Refrigerator"",""Oven""]",2,2026-06-06 01:31:54.59816+00,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1540518614846-7eded433c457?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1618773928121-c32242e63f39?auto=format&fit=crop&q=80&w=1200""]",An elegant sanctuary designed for restful pause.,"Bahria Town, Lahore",Zavari Haus,2 Guests,48 m2,King Bed,1 Bath
202,2nd Series,Standard Room,8000.00,active:ready,"[""Balcony"",""Air Conditioning"",""Smart TV"",""Bathtubs"",""Alarm Clock"",""Towels"",""Tea / Coffee Maker"",""Workspace Desk"",""Ceiling Fan"",""High-Speed Wi-Fi"",""Shower"",""Wardrobe"",""Lounge Chair"",""Flat-Screen TV"",""Seating Area"",""Room Service"",""Blackout Curtains"",""Comfortable bedding"",""Oven""]",2,2026-06-06 01:32:15.263838+00,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1598928506311-c55ded91a20c?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1507652313519-d4e9174996dd?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1590490360182-c33d57733427?auto=format&fit=crop&q=80&w=1200""]","Warm finishes and clean, contemporary comfort.","Bahria Town, Lahore",Zavari Haus,2 Guests,52 m2,King Bed,1 Bath
203,3rd Series,Standard Room,8000.00,active:ready,"[""Air Conditioning"",""Ceiling Fan"",""Flat-Screen TV"",""Smart TV"",""High-Speed Wi-Fi"",""Bathtubs"",""Shower"",""Seating Area"",""Alarm Clock"",""Wardrobe"",""Room Service"",""Balcony"",""Blackout Curtains"",""Workspace Desk"",""Towels"",""Tea / Coffee Maker"",""Lounge Chair"",""Comfortable bedding"",""Oven""]",2,2026-06-06 01:32:29.075639+00,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1554995207-c18c203602cb?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1591088398332-8a7791972843?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1566665797739-1674de7a421a?auto=format&fit=crop&q=80&w=1200""]",A restorative room with deep acoustic isolation.,"Bahria Town, Lahore",Zavari Haus,2 Guests,45 m2,King Bed,1 Bath
301,1st Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Seating area"",""Balcony""]",3,2026-06-06 01:43:52.865413+00,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&q=80&w=1200""]",A crowning residence with panoramic skyline views.,"Gulberg, Lahore",Zavari Haus,4 Guests,180 m2,2 King Beds,1 Bath
302,2nd Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Desk or workspace"",""Seating area"",""Balcony""]",3,2026-06-06 01:44:09.628264+00,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1502672023488-70e25813eb80?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1502672545487-e80bc52763be?auto=format&fit=crop&q=80&w=1200""]",A space-optimized studio with elegant design details.,"DHA, Lahore",Zavari Haus,2 Guests,38 m2,Queen Bed,1 Bath
303,3rd Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Seating area""]",3,2026-06-06 02:12:36.834049+00,https://images.unsplash.com/photo-1613977257363-707ba9348227?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1613977257363-707ba9348227?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1613977257592-4871e5fbe76e?auto=format&fit=crop&q=80&w=1200""]",A private villa with gated grounds and open-air comfort.,"DHA, Lahore",Zavari Haus,6 Guests,310 m2,3 King Beds,1 Bath
401,1st Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Seating area"",""Balcony""]",4,2026-06-06 02:12:53.077562+00,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1540518614846-7eded433c457?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1618773928121-c32242e63f39?auto=format&fit=crop&q=80&w=1200""]",An elegant sanctuary designed for restful pause.,"Bahria Town, Lahore",Zavari Haus,2 Guests,48 m2,King Bed,1 Bath
402,2nd Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Desk or workspace"",""Seating area"",""Balcony""]",4,2026-06-06 02:13:23.715035+00,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1598928506311-c55ded91a20c?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1507652313519-d4e9174996dd?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1590490360182-c33d57733427?auto=format&fit=crop&q=80&w=1200""]","Warm finishes and clean, contemporary comfort.","Bahria Town, Lahore",Zavari Haus,2 Guests,52 m2,King Bed,1 Bath
403,3rd Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Seating area""]",4,2026-06-06 02:13:45.087794+00,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1554995207-c18c203602cb?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1591088398332-8a7791972843?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1566665797739-1674de7a421a?auto=format&fit=crop&q=80&w=1200""]",A restorative room with deep acoustic isolation.,"Bahria Town, Lahore",Zavari Haus,2 Guests,45 m2,King Bed,1 Bath
501,1st Series,Standard Room,8000.00,active:ready,"[""Comfortable bedding"",""Air conditioning"",""Wi-Fi"",""TV"",""Room service"",""Refrigerator"",""Oven"",""Tea facilities"",""Private bathroom with toiletries"",""Daily housekeeping"",""Laundry service on request"",""Seating area"",""Balcony""]",5,2026-06-06 02:14:22.782743+00,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&q=80&w=1200,"[""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&q=80&w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&q=80&w=1200""]",A crowning residence with panoramic skyline views.,"Gulberg, Lahore",Zavari Haus,4 Guests,180 m2,2 King Beds,1 Bath
